source target weight_t0 weight_t1 weight_t2 weight_t3 weight_t4
AC_Ajaccio FC_Lorient 0 0 0 0 1
AC_Ajaccio Stade_Brestois 0 0 0 0 1
AC_Ajaccio CA_Bastia 0 1 0 0 0
AC_Amiens Angers_SCO 0 0 0 1 0
AC_Amiens EA_Guingamp 0 0 0 1 0
AC_Amiens SC_Lyon 0 0 0 1 0
AC_Amiens Fulham 0 0 0 1 0
AC_Amiens Newcastle 0 0 0 1 0
AC_Cesena Cagliari_Calcio 1 0 0 0 0
AC_Cesena AS_Roma 1 0 0 0 0
AC_Cesena Inter_Milan 0 2 0 0 0
AC_Cesena Kuban_Krasnodar 0 0 1 0 0
AC_Cesena Parma 2 0 4 0 0
AC_Cesena AC_Siena 0 1 0 0 0
AC_Cesena Juventus 0 1 0 0 0
AC_Fiorentina FC_Crotone 0 0 2 0 0
AC_Fiorentina West_Ham 1 0 0 1 0
AC_Fiorentina Juventus 1 0 1 1 2
AC_Fiorentina UC_Sampdoria 2 0 1 0 0
AC_Fiorentina Inter_Milan 0 0 0 2 0
AC_Fiorentina Stuttgart 1 0 0 0 0
AC_Fiorentina Parma 1 3 1 1 0
AC_Fiorentina Celta_de_Vigo 0 0 1 0 0
AC_Fiorentina Levante_UD 0 0 1 0 0
AC_Fiorentina Real_Madrid 0 1 0 0 0
AC_Fiorentina Hellas_Verona 0 1 1 0 2
AC_Fiorentina Spezia_Calcio 0 0 0 0 2
AC_Fiorentina Wolfsburg 0 0 1 0 0
AC_Fiorentina Watford_FC 0 0 2 0 0
AC_Fiorentina Napoli 0 4 0 0 0
AC_Fiorentina Manchester_City 0 2 0 0 0
AC_Fiorentina Milan 0 2 0 1 0
AC_Fiorentina AS_Roma 0 1 0 0 1
AC_Fiorentina Atalanta 1 0 0 1 0
AC_Fiorentina Sporting 0 0 1 1 0
AC_Fiorentina Torino_FC 0 1 0 0 0
AC_Fiorentina Carpi_FC_1909 0 0 1 0 0
AC_Fiorentina Empoli_FC 0 0 3 0 0
AC_Fiorentina SC_Braga 0 0 1 0 0
AC_Fiorentina Atlético_Madrid 1 0 1 0 0
AC_Fiorentina E._Frankfurt 0 0 0 1 0
AC_Fiorentina Brentford 0 0 0 1 0
AC_Fiorentina Udinese_Calcio 0 1 1 0 0
AC_Fiorentina AC_Cesena 0 2 0 0 0
AC_Fiorentina Bologna 1 1 0 0 0
AC_Fiorentina RCD_Mallorca 0 0 0 0 1
AC_Fiorentina Real_Betis 0 0 3 0 1
AC_Fiorentina Genoa 2 2 0 0 0
AC_Fiorentina Marseille 0 0 0 0 1
AC_Fiorentina Cagliari_Calcio 1 1 0 0 1
AC_Fiorentina FC_Nantes 0 0 0 1 1
AC_Fiorentina US_Palermo 1 0 0 0 0
AC_Fiorentina AS_Bari 1 0 0 0 0
AC_Fiorentina Brescia 1 0 0 0 0
AC_Fiorentina Chievo_Verona 0 1 0 1 0
AC_Fiorentina US_Sassuolo 0 0 0 1 0
AC_Fiorentina SS_Lazio 0 0 0 1 0
AC_Fiorentina Chelsea 0 0 2 0 0
AC_Le_Havre Marseille 1 0 0 0 0
AC_Le_Havre FC_Toulouse 1 0 0 0 0
AC_Siena AS_Roma 2 0 0 0 0
AC_Siena Napoli 1 0 0 0 0
AC_Siena Genoa 1 1 0 0 0
AC_Siena Cagliari_Calcio 0 1 0 0 0
AC_Siena FC_Köln 0 1 0 0 0
AC_Siena St._Petersburg 0 1 0 0 0
AC_Siena Atalanta 0 2 0 0 0
AC_Siena Parma 2 4 0 0 0
AC_Siena Juventus 1 0 0 0 0
AC_Siena Torino_FC 0 1 0 0 0
AC_Siena Udinese_Calcio 1 1 0 0 0
AC_Siena AS_Bari 1 0 0 0 0
AC_Siena Bologna 1 0 0 0 0
AC_Siena US_Palermo 0 1 0 0 0
ADO_Den_Haag Brighton 0 0 1 0 0
ADO_Den_Haag NEC_Nijmegen 0 0 1 0 0
ADO_Den_Haag FC_Union_Berlin 0 0 0 1 0
ADO_Den_Haag AZ_Alkmaar 0 0 0 1 0
ADO_Den_Haag FC_Utrecht 0 1 0 0 0
ADO_Den_Haag FC_Twente 0 1 0 0 0
ADO_Den_Haag Benfica 0 0 0 1 0
ADO_Den_Haag Willem_II 0 1 0 1 0
ADO_Den_Haag SC_Feyenoord 0 1 1 0 0
ADO_Den_Haag FC_Eindhoven 0 1 0 0 0
ADO_Den_Haag SC_Heerenveen 1 1 0 0 0
ADO_Den_Haag Norwich 0 0 0 1 0
ADO_Den_Haag FC_Ingolstadt 0 0 1 0 0
ADO_Den_Haag Sparta_Rotterdam 0 0 0 0 1
ADO_Den_Haag SC_Cambuur_Leeuwarden 0 0 1 0 0
ADO_Den_Haag KS_Samara 1 0 0 0 0
ADO_Den_Haag FC_Groningen 0 0 1 0 0
ADO_Den_Haag De_Graafschap 1 0 0 0 0
AFC_Bournemouth Rotherham 0 0 1 0 0
AFC_Bournemouth Brighton 0 0 1 0 0
AFC_Bournemouth Reading_FC 0 0 1 0 0
AFC_Bournemouth Everton 0 0 0 0 2
AFC_Bournemouth Suderland 0 0 0 1 0
AFC_Bournemouth Aston_Villa 0 0 1 1 0
AFC_Bournemouth Ipswich_Town 0 0 1 0 0
AFC_Bournemouth Roda_JC 0 1 0 0 0
