club,country
Hamburger_SV,Germany
FC_Schalke_04,Germany
FC_Union_Berlin,Germany
CS_Sedan,France
Karlsruher_SC,Germany
Espanyol,Spain
Bayer_Leverkusen,Germany
Stuttgart,Germany
MSV_Duisburg,Germany
FC_Kaiserslautern,Germany
Borussia_Dortmund,Germany
FC_Nuremberg,Germany
Bayern_Munich,Germany
Dynamo_Moscow,Russia
FC_Hansa_Rostock,Germany
F._Düsseldorf,Germany
Inter_Milan,Italy
SG_Wattenscheid_09,Germany
FC_Augsburg,Germany
FC_Nantes,France
Juventus,Italy
E._Frankfurt,Germany
Dynamo_Dresden,Germany
Alemannia_Aachen,Germany
SC_Freiburg,Germany
Hertha_BSC,Germany
Werder_Bremen,Germany
RB_Leipzig,Germany
E._Braunschweig,Germany
FC_Saarbrücken,Germany
Bayer_Uerdingen,Germany
Spartak_Moscow,Russia
Unterhaching,Germany
VfL_Bochum,Germany
FC_Köln,Germany
Real_Zaragoza,Spain
FC_Twente,Netherlands
SS_Lazio,Italy
Atlético_Madrid,Spain
Borussia_Mönchengladbach,Germany
Rayo_Vallecano,Spain
Blackburn,England
FC_Metz,France
FC_Eindhoven,Netherlands
Milan,Italy
Hannover_96,Germany
AS_Roma,Italy
SSV_Ulm_1846,Germany
FSV_Mainz,Germany
1860_München,Germany
Torino_FC,Italy
Chernomorets_Novorossijsk,Russia
Marseille,France
AC_Reggiana,Italy
AS_Saint-Étienne,France
Go_Ahead_Eagles,Netherlands
AC_Fiorentina,Italy
Roda_JC,Netherlands
Tottenham,England
Dep._La_Coruña,Spain
Wolfsburg,Germany
Sporting,Portugal
AJ_Auxerre,France
QPR,England
Bristol_City,England
Millwall,England
R._Strasbourg,France
FC_Girondins_Bordeaux,France
FC_Energie_Cottbus,Germany
CP_Mérida,Spain
EA_Guingamp,France
Manchester_City,England
SC_Feyenoord,Netherlands
Ajax,Netherlands
Leeds,England
Arminia_Bielefeld,Germany
CD_Logroñés,Spain
RC_Lens,France
Nottingham_Forest,England
Rennes,France
FC_Utrecht,Netherlands
Genoa,Italy
CD_Tenerife,Spain
SC_Paderborn,Germany
Athletic,Spain
Lokomotiv_Moscow,Russia
Greuther_Fürth,Germany
Barcelona,Spain
Brescia,Italy
Real_Oviedo,Spain
