Alter,weight
Manchester_City,4093
Chelsea,2335
Barcelona,1968
Juventus,1755
Real_Madrid,1718
PSG,1612
Liverpool,1410
Arsenal,1326
Tottenham,1217
Inter_Milan,1210
Atlético_Madrid,1190
Milan,1064
AS_Roma,1000
Bayern_Munich,1000
AS_Monaco,975
Napoli,962
Borussia_Dortmund,897
Everton,888
Aston_Villa,865
Newcastle,855
West_Ham,850
Sevilla_FC,742
Southampton,706
Leicester,688
Wolfsburg,679
Wolves_FC,671
Benfica,651
Valencia,630
St._Petersburg,614
Marseille,602
Genoa,591
AC_Fiorentina,575
SC_Lyon,566
FC_Porto,558
Bayer_Leverkusen,547
RB_Leipzig,526
Villarreal_CF,500
Atalanta,494
Rennes,481
Ajax,471
Fulham,445
Brighton,436
Crystal_Palace,431
SS_Lazio,426
Leeds,415
UC_Sampdoria,406
Watford_FC,403
LOSC_Lille,398
Udinese_Calcio,389
AFC_Bournemouth,378
US_Sassuolo,376
Stoke_City,358
Sporting,353
Parma,349
Suderland,343
OGC_Nice,342
FC_Schalke_04,339
Spartak_Moscow,337
Borussia_Mönchengladbach,329
Bologna,327
West_Brom,321
Torino_FC,318
Nottingham_Forest,315
Burnley,307
Anzhi_Makhachkala_(_-2022),298
TSG_Hoffenheim,291
Real_Betis,287
Swansea_City,278
Lokomotiv_Moscow,275
Idel_Kazan,270
Norwich,264
Dynamo_Moscow,260
Hertha_BSC,254
Sheff_Utd,253
Middlesbrough_FC,248
E._Frankfurt,240
FC_Eindhoven,239
Hamburger_SV,235
Hull_City,225
Cagliari_Calcio,224
Din._Krasnodar,214
QPR,212
Cardiff,212
US_Palermo,211
Espanyol,204
Stuttgart,199
FSV_Mainz,194
CSKA_Moscow,190
Werder_Bremen,187
Getafe,182
Brentford,181
FC_Girondins_Bordeaux,170
Hellas_Verona,168
Huddersfield_Town,168
AS_Saint-Étienne,159
FC_Köln,159
FC_Augsburg,159
Celta_de_Vigo,152
CD_Málaga,149
SC_Freiburg,141
Birmingham,141
Granada_CF,140
FC_Lorient,138
SC_Feyenoord,135
Wigan,135
Derby,133
SC_Braga,132
Chievo_Verona,130
Blackburn,127
Athletic,124
FC_Toulouse,123
Bristol_City,122
Marítimo,120
Reading_FC,112
FC_Paços_de_Ferreira,109
Stade_Reims,107
Vitória_Setúbal_FC,106
Hannover_96,106
Montpellier,106
FC_Nantes,104
FK_Rostov,104
FC_Twente,102
Vitória_Guimarães_SC,101
AZ_Alkmaar,99
Levante_UD,98
Boavista,97
Gil_Vicente_FC,94
CD_Nacional,92
SC_Heerenveen,90
Rio_Ave_FC,90
Bolton,89
Barnsley_FC,88
RC_Lens,84
Catania,83
Blackpool,81
Angers_SCO,81
SD_Eibar,78
Kuban_Krasnodar,77
Almería_CF,76
KS_Samara,76
Amkar_II,75
FC_Groningen,75
Ipswich_Town,73
Heracles_Almelo,72
Dijon_FCO,72
Vitesse,72
Uralmash,71
ADO_Den_Haag,71
Stade_Brestois,70
Empoli_FC,69
AC_Siena,69
CA_Osasuna,68
CF_Os_Belenenses,68
FC_Union_Berlin,68
RCD_Mallorca,68
FC_Utrecht,68
US_Salernitana,67
Estoril_Praia,67
Moreirense_FC,66
Terek_Grozny,66
NEC_Nijmegen,65
SPAL,64
Rayo_Vallecano,60
SM_Caen,60
Portimonense,60
FC_Metz,60
R._Strasbourg,59
Real_Valladolid_CF,59
Académica_Coimbra,59
Willem_II,58
Dep._La_Coruña,58
CD_Tondela,57
Alavés,57
Portsmouth,56
FK_Ufa,56
Arouca,56
Millwall,54
Association_Troyes_Aube_Champagne,53
CD_Santa_Clara,53
CD_Leganés,51
SC_Olhanense,51
Chaves,50
Preston,50
Roda_JC,49
Fortuna_Sittard,49
CD_Feirense,48
VVV-Venlo,48
Sparta_Rotterdam,48
Excelsior,46
Elche_CF,46
RKC_Waalwijk,45
Charlton,45
NAC_Breda,45
Real_Zaragoza,45
Spezia_Calcio,44
Arsenal_Tula,44
FK_Khimki,43
FC_Zwolle,43
AC_Cesena,43
FC_Sochi,43
Delfino_Pescara_1936,43
US_Lecce,42
Volga_Nizhniy_Novgorod_(-_2016),41
AC_Amiens,41
Girona,40
Tom_Tomsk,40
FC_Sochaux-Montbéliard,39
FK_Orenburg,38
AS_Nancy,38
De_Graafschap,38
FC_Nuremberg,38
F._Düsseldorf,38
Rotherham,38
Emmen,38
Desportivo_Aves_(-_2020),38
US_Valenciennes,37
Go_Ahead_Eagles,37
