source target weight_t0 weight_t1 weight_t2 weight_t3 weight_t4
AC_Ajaccio Académica_Coimbra 0 0 1 0 0
AC_Ajaccio CA_Bastia 0 1 0 0 0
AC_Ajaccio FC_Toulouse 0 0 1 0 0
AC_Ajaccio Levante_UD 0 0 1 0 0
AC_Ajaccio Udinese_Calcio 0 0 1 0 0
AC_Amiens Angers_SCO 0 0 0 1 0
AC_Amiens EA_Guingamp 0 0 0 1 0
AC_Amiens FC_Schalke_04 0 0 1 0 0
AC_Amiens Fulham 0 0 0 1 0
AC_Amiens Newcastle 0 0 0 1 0
AC_Amiens SC_Lyon 0 0 0 1 0
AC_Cesena AC_Siena 0 1 0 0 0
AC_Cesena AS_Roma 1 0 0 0 0
AC_Cesena Cagliari_Calcio 1 0 0 0 0
AC_Cesena Juventus 0 1 0 0 0
AC_Cesena Kuban_Krasnodar 0 0 1 0 0
AC_Cesena Milan 0 1 0 0 0
AC_Cesena Newcastle 0 0 1 0 0
AC_Cesena Parma 1 0 1 0 0
AC_Cesena Real_Madrid 0 0 1 0 0
AC_Fiorentina AC_Cesena 0 1 0 0 0
AC_Fiorentina AS_Bari 1 0 0 0 0
AC_Fiorentina AS_Roma 0 1 0 0 1
AC_Fiorentina Atalanta 1 0 0 1 0
AC_Fiorentina Atlético_Madrid 1 0 1 0 0
AC_Fiorentina Bologna 1 1 0 0 0
AC_Fiorentina Brentford 0 0 0 1 0
AC_Fiorentina Brescia 1 0 0 0 0
AC_Fiorentina Cagliari_Calcio 1 1 0 0 1
AC_Fiorentina Carpi_FC_1909 0 0 1 0 0
AC_Fiorentina Celta_de_Vigo 0 0 1 0 0
AC_Fiorentina Chelsea 0 0 1 0 0
AC_Fiorentina Chievo_Verona 0 1 0 1 0
AC_Fiorentina E._Frankfurt 0 0 0 1 0
AC_Fiorentina Empoli_FC 0 0 1 0 0
AC_Fiorentina Espanyol 0 0 1 0 0
AC_Fiorentina FC_Crotone 0 0 1 0 0
AC_Fiorentina FC_Nantes 0 0 0 1 1
AC_Fiorentina Genoa 1 1 0 0 0
AC_Fiorentina Hellas_Verona 0 1 1 0 1
AC_Fiorentina Juventus 1 0 1 1 1
AC_Fiorentina Levante_UD 0 0 1 0 0
AC_Fiorentina Manchester_City 0 1 0 0 0
AC_Fiorentina Milan 0 1 0 1 0
AC_Fiorentina Napoli 0 1 0 0 0
AC_Fiorentina Parma 1 1 1 1 0
AC_Fiorentina Real_Betis 0 0 1 0 1
AC_Fiorentina Real_Madrid 0 1 0 0 0
AC_Fiorentina SC_Braga 0 0 1 0 0
AC_Fiorentina SS_Lazio 0 0 0 1 0
AC_Fiorentina Sporting 0 0 1 1 0
AC_Fiorentina Stuttgart 1 0 0 0 0
AC_Fiorentina Torino_FC 0 1 0 0 0
AC_Fiorentina UC_Sampdoria 1 0 1 0 0
AC_Fiorentina US_Palermo 1 0 0 0 0
AC_Fiorentina US_Sassuolo 0 0 0 1 0
AC_Fiorentina Udinese_Calcio 0 1 1 0 0
AC_Fiorentina Watford_FC 0 0 1 0 0
AC_Fiorentina West_Ham 1 0 0 1 0
AC_Fiorentina Wolfsburg 0 0 1 0 0
AC_Le_Havre Académica_Coimbra 0 0 1 0 0
AC_Le_Havre FC_Nuremberg 0 0 1 0 0
AC_Le_Havre FC_Toulouse 1 0 0 0 0
AC_Le_Havre Marseille 1 0 0 0 0
AC_Siena AS_Bari 1 0 0 0 0
AC_Siena AS_Roma 1 0 0 0 0
AC_Siena Atalanta 0 1 0 0 0
AC_Siena Bologna 1 0 0 0 0
AC_Siena Cagliari_Calcio 0 1 0 0 0
AC_Siena FC_Köln 0 1 0 0 0
AC_Siena Genoa 1 1 0 0 0
AC_Siena Juventus 1 0 0 0 0
AC_Siena Napoli 1 0 0 0 0
AC_Siena Parma 1 1 0 0 0
AC_Siena St._Petersburg 0 1 0 0 0
AC_Siena Torino_FC 0 1 0 0 0
AC_Siena US_Palermo 0 1 0 0 0
AC_Siena Udinese_Calcio 1 1 0 0 0
ADO_Den_Haag AZ_Alkmaar 0 0 0 1 0
ADO_Den_Haag Benfica 0 0 0 1 0
ADO_Den_Haag Brighton 0 0 1 0 0
ADO_Den_Haag De_Graafschap 1 0 0 0 0
ADO_Den_Haag FC_Eindhoven 0 1 0 0 0
ADO_Den_Haag FC_Groningen 0 0 1 0 0
ADO_Den_Haag FC_Ingolstadt 0 0 1 0 0
ADO_Den_Haag FC_Twente 0 1 0 0 0
ADO_Den_Haag FC_Union_Berlin 0 0 0 1 0
ADO_Den_Haag FC_Utrecht 0 1 0 0 0
ADO_Den_Haag KS_Samara 1 0 0 0 0
ADO_Den_Haag Montpellier 0 0 1 0 0
ADO_Den_Haag NEC_Nijmegen 0 0 1 0 0
ADO_Den_Haag Norwich 0 0 0 1 0
ADO_Den_Haag SC_Cambuur_Leeuwarden 0 0 1 0 0
ADO_Den_Haag SC_Feyenoord 0 1 1 0 0
ADO_Den_Haag SC_Heerenveen 1 1 0 0 0
ADO_Den_Haag Willem_II 0 1 0 1 0
AFC_Bournemouth Aston_Villa 0 0 1 1 0
AFC_Bournemouth Blackburn 0 0 1 0 0
AFC_Bournemouth Brighton 0 0 1 0 0
AFC_Bournemouth Bristol_City 0 0 1 0 0
AFC_Bournemouth FC_Toulouse 0 0 0 1 0
AFC_Bournemouth Ipswich_Town 0 0 1 0 0
AFC_Bournemouth Leeds 0 0 1 0 0
AFC_Bournemouth Millwall 0 0 0 1 0
AFC_Bournemouth Newcastle 0 0 1 0 1
AFC_Bournemouth Norwich 0 0 1 0 0
AFC_Bournemouth Nottingham_Forest 0 0 0 1 1
AFC_Bournemouth QPR 0 0 0 1 0
AFC_Bournemouth Reading_FC 0 0 1 0 0
AFC_Bournemouth Roda_JC 0 1 0 0 0
AFC_Bournemouth Rotherham 0 0 1 0 0
AFC_Bournemouth SC_Cambuur_Leeuwarden 0 0 1 0 0
AFC_Bournemouth Sheff_Utd 0 0 0 1 1
AFC_Bournemouth Stoke_City 0 0 0 1 1
AFC_Bournemouth Suderland 0 0 0 1 0
AFC_Bournemouth Wigan 0 0 1 0 0
AFC_Bournemouth Wolves_FC 0 0 0 1 0
AJ_Auxerre AC_Ajaccio 0 1 0 0 0
AJ_Auxerre AS_Monaco 1 0 0 0 0
AJ_Auxerre AS_Saint-Étienne 0 1 0 0 0
AJ_Auxerre Borussia_Mönchengladbach 1 0 0 0 0
AJ_Auxerre Derby 0 0 1 0 0
AJ_Auxerre FC_Lorient 1 1 0 0 0
AJ_Auxerre FC_Toulouse 0 1 0 0 0
AJ_Auxerre Genoa 0 1 0 0 0
AJ_Auxerre Huddersfield_Town 0 0 1 0 0
AJ_Auxerre LOSC_Lille 0 1 0 0 1
AJ_Auxerre Le_Mans_FC 1 0 0 0 0
AJ_Auxerre West_Brom 1 0 0 0 0
AJ_Auxerre Wolfsburg 1 0 0 0 0
AS_Bari AS_Roma 1 0 0 0 0
AS_Bari Genoa 1 0 0 0 0
AS_Bari Juventus 1 0 0 0 0
AS_Bari Lokomotiv_Moscow 0 0 1 0 0
AS_Bari Montpellier 0 0 1 0 0
AS_Livorno Chaves 0 0 1 0 0
AS_Livorno Middlesbrough_FC 0 0 1 0 0
AS_Livorno Milan 0 1 0 0 0
AS_Livorno R._Strasbourg 0 0 1 0 0
AS_Livorno US_Palermo 1 0 0 0 0
AS_Livorno West_Ham 1 0 0 0 0
AS_Monaco AJ_Auxerre 1 0 0 0 0
AS_Monaco AS_Nancy 1 0 0 0 0
AS_Monaco AS_Roma 1 0 0 0 0
AS_Monaco AS_Saint-Étienne 1 0 0 0 0
AS_Monaco Académica_Coimbra 0 0 1 0 0
AS_Monaco Atalanta 0 0 1 0 0
AS_Monaco Atlético_Madrid 0 0 1 1 0
AS_Monaco Blackpool 1 0 0 0 0
AS_Monaco Bologna 1 0 0 0 0
AS_Monaco Chelsea 0 0 0 1 1
AS_Monaco Dijon_FCO 0 0 1 0 0
AS_Monaco E._Frankfurt 0 0 0 1 0
AS_Monaco FC_Eindhoven 0 0 1 0 0
AS_Monaco FC_Girondins_Bordeaux 0 0 1 0 0
AS_Monaco FC_Ingolstadt 0 0 1 0 0
AS_Monaco FC_Toulouse 0 0 1 1 0
AS_Monaco FC_Utrecht 0 0 1 0 1
AS_Monaco FSV_Mainz 0 0 0 1 0
AS_Monaco Huddersfield_Town 0 0 0 1 0
AS_Monaco LOSC_Lille 0 0 1 0 0
AS_Monaco Leicester 0 0 0 1 0
AS_Monaco Liverpool 0 0 0 1 0
AS_Monaco Lokomotiv_Moscow 0 0 1 0 1
AS_Monaco Manchester_City 0 0 1 1 0
AS_Monaco Marseille 0 0 1 1 0
AS_Monaco Milan 1 0 1 0 1
AS_Monaco Newcastle 0 0 1 0 0
AS_Monaco OGC_Nice 0 1 0 1 1
AS_Monaco PSG 1 0 1 1 0
AS_Monaco Real_Madrid 0 0 1 0 1
AS_Monaco SC_Lyon 1 0 0 0 0
AS_Monaco Sevilla_FC 0 0 0 1 0
AS_Monaco Southampton 0 0 0 1 0
AS_Monaco Stoke_City 1 0 0 0 0
AS_Monaco Torino_FC 0 0 0 1 1
AS_Monaco Valencia 0 0 1 0 0
AS_Monaco Vitória_Guimarães_SC 0 1 0 0 1
AS_Monaco Wolves_FC 0 0 1 1 0
AS_Nancy AS_Monaco 1 0 0 0 0
AS_Nancy AS_Saint-Étienne 1 1 0 0 0
AS_Nancy Estoril_Praia 0 0 1 0 0
AS_Nancy FC_Girondins_Bordeaux 0 1 0 0 0
AS_Nancy Marseille 0 1 0 0 0
AS_Nancy Milan 0 1 0 0 0
AS_Nancy Newcastle 0 1 0 0 0
AS_Nancy Plymouth 0 0 1 0 0
AS_Nancy QPR 0 1 0 0 0
AS_Nancy Rennes 0 1 0 0 0
AS_Nancy St._Petersburg 1 0 0 0 0
AS_Roma AC_Fiorentina 1 1 0 0 0
AS_Roma AC_Siena 1 0 0 0 0
AS_Roma AS_Bari 1 0 0 0 0
AS_Roma AS_Monaco 0 0 1 0 0
AS_Roma Atalanta 0 0 1 1 0
AS_Roma Barcelona 0 1 0 0 0
AS_Roma Bayer_Leverkusen 0 0 1 0 1
AS_Roma Bayern_Munich 0 0 1 0 0
AS_Roma Bologna 0 1 1 1 0
AS_Roma CD_Málaga 1 0 0 0 0
AS_Roma Cagliari_Calcio 1 0 0 0 0
AS_Roma Chelsea 0 0 0 1 0
AS_Roma Chievo_Verona 1 1 0 0 0
AS_Roma FC_Augsburg 0 0 1 0 0
AS_Roma FC_Groningen 0 0 1 0 0
AS_Roma FC_Paços_de_Ferreira 0 1 0 0 0
AS_Roma FC_Porto 0 0 1 1 0
AS_Roma FSV_Mainz 0 0 1 0 0
AS_Roma Fulham 0 1 0 0 0
AS_Roma Genoa 1 1 1 1 0
AS_Roma Hellas_Verona 0 0 1 0 1
AS_Roma Juventus 0 1 1 1 0
AS_Roma LOSC_Lille 0 0 1 0 0
AS_Roma Liverpool 1 1 0 1 0
AS_Roma Marseille 0 0 0 1 1
AS_Roma Milan 1 1 1 1 1
AS_Roma Napoli 0 0 0 1 1
AS_Roma PSG 1 1 0 0 0
AS_Roma Parma 1 1 0 0 0
AS_Roma Real_Betis 0 0 1 0 0
AS_Roma Real_Madrid 0 0 0 1 0
AS_Roma SC_Braga 1 0 0 0 0
AS_Roma SC_Lyon 0 0 1 0 0
AS_Roma Southampton 0 1 0 0 0
AS_Roma Spartak_Moscow 0 0 0 1 0
AS_Roma Sporting 0 0 0 1 0
AS_Roma St._Petersburg 0 0 0 1 0
AS_Roma Torino_FC 0 1 1 0 0
AS_Roma Tottenham 0 1 0 0 0
AS_Roma UC_Sampdoria 1 0 0 0 0
AS_Roma US_Sassuolo 0 1 1 1 1
AS_Roma Udinese_Calcio 1 1 1 0 0
AS_Roma Watford_FC 0 0 1 0 0
AS_Roma Wolves_FC 0 0 1 0 0
AS_Saint-Étienne AC_Cesena 1 0 0 0 0
AS_Saint-Étienne AC_Fiorentina 0 0 0 1 0
AS_Saint-Étienne AFC_Bournemouth 0 0 1 0 0
AS_Saint-Étienne AS_Monaco 0 0 1 1 0
AS_Saint-Étienne Angers_SCO 0 0 0 1 1
AS_Saint-Étienne Arsenal 0 0 0 1 0
AS_Saint-Étienne Atlético_Madrid 0 1 0 0 0
AS_Saint-Étienne Blackburn 1 0 0 0 0
AS_Saint-Étienne Borussia_Dortmund 0 1 0 0 0
AS_Saint-Étienne Brentford 0 0 0 1 0
AS_Saint-Étienne CA_Bastia 0 1 1 0 0
AS_Saint-Étienne Catania 0 1 0 0 0
AS_Saint-Étienne Chelsea 0 1 0 0 0
AS_Saint-Étienne Din._Krasnodar 0 0 0 1 0
AS_Saint-Étienne FC_Grenoble_JI 1 0 0 0 0
AS_Saint-Étienne FC_Metz 0 0 1 1 1
AS_Saint-Étienne FC_Porto 1 0 0 1 0
AS_Saint-Étienne FC_Toulouse 0 1 0 0 0
AS_Saint-Étienne FC_Union_Berlin 0 0 0 1 0
AS_Saint-Étienne Hannover_96 0 0 1 0 0
AS_Saint-Étienne KS_Samara 0 0 1 0 0
AS_Saint-Étienne LOSC_Lille 0 1 0 1 0
AS_Saint-Étienne Montpellier 1 0 0 0 0
AS_Saint-Étienne Napoli 0 1 0 0 0
AS_Saint-Étienne OGC_Nice 0 0 1 0 0
AS_Saint-Étienne PSG 0 1 0 0 0
AS_Saint-Étienne R._Strasbourg 0 0 0 1 0
AS_Saint-Étienne Real_Betis 0 1 0 0 0
AS_Saint-Étienne Rotherham 0 0 1 0 0
AS_Saint-Étienne SC_Lyon 1 0 0 0 0
AS_Saint-Étienne SM_Caen 0 0 1 0 0
AS_Saint-Étienne Sevilla_FC 1 0 0 0 0
AS_Saint-Étienne Sporting 0 1 0 0 0
AS_Saint-Étienne Swansea_City 0 0 1 0 0
AS_Saint-Étienne US_Valenciennes 1 1 0 0 0
AS_Saint-Étienne Vitesse 1 0 0 0 1
AS_Saint-Étienne West_Ham 1 0 0 0 0
AS_Saint-Étienne Wolves_FC 0 1 0 0 0
AZ_Alkmaar AS_Bari 0 0 1 0 0
AZ_Alkmaar Ajax 1 1 1 0 1
AZ_Alkmaar Aston_Villa 0 1 0 0 0
AZ_Alkmaar Brescia 1 0 0 0 0
AZ_Alkmaar Brighton 0 0 0 1 0
AZ_Alkmaar CSKA_Moscow 0 1 0 0 0
AZ_Alkmaar Charlton 0 0 1 0 0
AZ_Alkmaar Dijon_FCO 0 0 1 0 0
AZ_Alkmaar Espanyol 0 1 0 0 0
AZ_Alkmaar FC_Augsburg 0 1 1 0 0
AZ_Alkmaar FC_Eindhoven 1 1 1 1 0
AZ_Alkmaar FC_Groningen 0 1 0 0 0
AZ_Alkmaar FC_Utrecht 0 0 1 1 0
AZ_Alkmaar FC_Zwolle 0 0 0 1 1
AZ_Alkmaar Fulham 1 0 0 0 0
AZ_Alkmaar Heracles_Almelo 1 1 0 1 0
AZ_Alkmaar Hertha_BSC 0 0 1 0 0
AZ_Alkmaar Hull_City 0 0 1 0 0
AZ_Alkmaar NAC_Breda 1 0 1 0 0
AZ_Alkmaar NEC_Nijmegen 0 1 0 0 1
AZ_Alkmaar Parma 0 1 0 0 0
AZ_Alkmaar Real_Valladolid_CF 1 0 0 0 0
AZ_Alkmaar Roda_JC 1 0 0 0 0
AZ_Alkmaar SC_Cambuur_Leeuwarden 0 0 1 0 1
AZ_Alkmaar SC_Feyenoord 0 1 0 1 1
AZ_Alkmaar SC_Heerenveen 0 0 0 1 0
AZ_Alkmaar SS_Lazio 0 0 1 0 0
AZ_Alkmaar Spartak_Moscow 1 0 0 1 0
AZ_Alkmaar Sporting 0 1 0 0 0
AZ_Alkmaar Stade_Brestois 0 1 0 0 1
AZ_Alkmaar Stade_Reims 0 0 1 0 0
AZ_Alkmaar Suderland 0 1 0 0 0
AZ_Alkmaar Tottenham 0 0 1 0 0
AZ_Alkmaar UC_Sampdoria 0 1 0 0 0
AZ_Alkmaar VVV-Venlo 0 1 0 0 0
AZ_Alkmaar Vitesse 1 0 0 0 0
AZ_Alkmaar Watford_FC 0 0 1 0 0
AZ_Alkmaar Werder_Bremen 0 0 1 0 0
AZ_Alkmaar Willem_II 0 0 1 1 1
AZ_Alkmaar Wolfsburg 0 0 0 1 0
Académica_Coimbra Benfica 0 1 0 0 0
Académica_Coimbra Blackburn 0 1 0 0 0
Académica_Coimbra Boavista 0 0 1 0 0
Académica_Coimbra CD_Málaga 0 1 0 0 0
Académica_Coimbra FC_Lorient 0 1 0 0 0
Académica_Coimbra FC_Paços_de_Ferreira 0 1 0 0 0
Académica_Coimbra FC_Penafiel 0 0 1 0 0
Académica_Coimbra FC_Porto 1 0 1 0 0
Académica_Coimbra Gil_Vicente_FC 0 1 0 0 0
Académica_Coimbra Hertha_BSC 1 0 0 0 0
Académica_Coimbra Marítimo 0 1 1 0 0
Académica_Coimbra Portimonense 1 0 0 0 0
Académica_Coimbra SC_Braga 0 1 0 0 0
Académica_Coimbra União_de_Leiria 1 0 0 0 0
Académica_Coimbra Vitória_Guimarães_SC 1 0 0 0 0
Académica_Coimbra Vitória_Setúbal_FC 0 1 0 0 0
