AC_Ajaccio Marítimo
AC_Amiens Bayern_Munich
AC_Cesena FC_Porto
AC_Cesena UC_Sampdoria
AC_Fiorentina Akhmat_Grozny
AC_Fiorentina Getafe
AC_Fiorentina Hannover_96
AC_Fiorentina Portsmouth
AC_Fiorentina Villarreal_CF
AC_Le_Havre Athletic
AC_Le_Havre Birmingham
AC_Le_Havre Spartak_Nalchik
AC_Siena Moreirense_FC
AC_Siena US_Sassuolo
AFC_Bournemouth Terek_Grozny
AJ_Auxerre AC_Cesena
AJ_Auxerre Real_Valladolid_CF
AS_Bari Aston_Villa
AS_Bari Bayern_Munich
AS_Bari Cagliari_Calcio
AS_Bari FC_Kaiserslautern
AS_Livorno AC_Amiens
AS_Livorno FC_Metz
AS_Nancy Espanyol
AS_Nancy Levante_UD
AS_Nancy SM_Caen
AS_Saint-Étienne FC_Ingolstadt
AS_Saint-Étienne FC_Schalke_04
AS_Saint-Étienne US_Lecce
AS_Saint-Étienne Vitória_Setúbal_FC
AZ_Alkmaar AC_Fiorentina
Académica_Coimbra Hércules_CF
Académica_Coimbra Sevilla_FC
Académica_Coimbra Willem_II
Akhmat_Grozny Southampton
Akhmat_Grozny Tom_Tomsk
Alania Sporting_Gijón
Alavés AS_Livorno
Alavés CD_Málaga
Alavés US_Sassuolo
Almería_CF FC_Girondins_Bordeaux
Almería_CF FC_Köln
Almería_CF FSV_Mainz
Angers_SCO AC_Le_Havre
Angers_SCO Barnsley_FC
Angers_SCO FC_Kaiserslautern
Angers_SCO Manchester_City
Angers_SCO US_Boulogne
Arouca Uralmash
Arsenal Kuban_Krasnodar
Arsenal US_Boulogne
Arsenal_Tula FC_Lorient
Arsenal_Tula Norwich
Aston_Villa Napoli
Aston_Villa Real_Valladolid_CF
Athletic Din._Krasnodar
Athletic Montpellier
Athletic Napoli
Atlético_Madrid KS_Samara
Atlético_Madrid RC_Lens
Barcelona Empoli_FC
Barnsley_FC AC_Amiens
Barnsley_FC CD_Leganés
Barnsley_FC E._Braunschweig
Bayer_Leverkusen ADO_Den_Haag
Bayer_Leverkusen FC_Toulouse
Beira-Mar Blackpool
Beira-Mar Brescia
Beira-Mar Empoli_FC
Beira-Mar FC_Köln
Belenenses AJ_Auxerre
Belenenses Espanyol
Belenenses FC_Penafiel
Belenenses Nîmes_Olympique
Belenenses Sevilla_FC
Benfica AS_Bari
Benfica Empoli_FC
Benfica Juventus
Birmingham NEC_Nijmegen
Birmingham Rennes
Birmingham SC_Lyon
Blackburn Hércules_CF
Blackburn Rayo_Vallecano
Blackpool FC_Toulouse
Blackpool Heracles_Almelo
Blackpool NEC_Nijmegen
