source,target,weight_t0,weight_t1,weight_t2,weight_t3,weight_t4,weight_t5
0,5,1,1,1,1,1,1
0,9,1,0,0,0,0,0
0,20,1,1,1,1,1,0
0,26,1,1,0,0,0,0
0,36,1,1,0,0,0,0
0,40,0,0,0,1,1,0
0,47,0,0,0,0,1,1
0,49,1,1,0,0,0,0
0,68,1,0,0,0,0,0
1,17,1,1,1,1,0,0
1,18,1,1,1,1,1,1
1,19,0,1,1,1,1,1
1,21,0,0,0,0,1,0
1,30,0,1,0,0,0,0
1,31,0,0,0,1,1,1
1,32,0,0,0,0,0,1
1,48,1,1,1,1,1,1
1,55,1,0,0,0,0,0
2,4,1,1,1,1,0,0
2,16,1,1,1,1,1,1
2,19,0,0,0,0,0,1
2,21,0,0,1,1,1,0
2,38,0,0,0,0,1,1
2,42,1,1,1,0,0,0
2,43,0,1,0,0,0,0
2,50,1,1,0,0,0,0
3,2,0,0,0,1,0,0
3,7,1,0,0,0,0,0
3,21,0,0,0,1,1,0
3,35,1,1,1,1,1,1
3,47,0,1,1,0,0,0
4,1,1,1,1,1,0,0
4,11,0,0,1,1,1,1
4,16,1,0,0,0,0,0
4,18,1,0,0,0,0,0
4,24,0,1,1,0,0,0
4,29,0,0,0,1,1,1
4,40,1,1,1,0,0,0
4,46,1,1,1,1,1,0
5,0,1,1,1,1,1,1
5,4,0,0,0,0,0,1
5,8,1,1,1,1,1,0
5,9,0,0,0,1,0,0
5,10,1,1,1,1,1,1
5,11,1,0,0,0,0,0
5,21,1,1,1,1,1,0
5,32,0,0,0,0,0,1
6,7,0,0,0,1,1,1
6,14,1,1,0,0,0,0
6,31,0,1,0,0,0,0
6,33,1,1,1,1,1,1
6,42,1,1,0,0,0,0
6,57,0,0,0,1,1,1
7,10,1,1,0,0,0,0
7,14,1,1,1,1,1,1
7,26,1,0,0,0,0,0
7,33,1,1,1,1,1,1
7,49,1,1,1,1,0,0
7,50,1,0,0,0,0,0
7,81,0,0,0,0,0,1
8,3,1,1,1,0,0,0
8,23,0,0,0,0,1,1
8,24,1,0,0,0,0,0
8,26,1,0,0,0,0,0
8,28,1,0,0,0,0,0
8,44,1,1,1,0,0,0
8,46,1,1,1,0,0,0
8,48,1,1,0,0,0,0
9,0,0,0,1,0,0,0
9,1,0,0,0,1,1,1
9,7,1,1,1,1,1,0
9,34,0,0,1,1,1,1
9,41,1,1,1,1,1,1
10,8,1,1,1,1,1,1
10,13,1,1,1,1,1,1
10,18,0,1,0,0,0,0
10,30,1,1,0,0,0,0
10,33,0,1,1,1,1,0
10,36,1,0,0,0,0,0
10,39,0,1,1,1,1,0
10,40,1,1,1,1,1,1
10,41,1,1,0,0,0,0
10,49,0,0,0,1,1,1
10,78,1,1,0,0,0,1
11,2,0,0,0,0,0,1
11,9,0,0,0,0,0,1
11,10,1,1,1,1,1,1
11,14,1,1,1,1,0,0
11,17,0,0,0,1,1,1
11,26,1,1,1,1,0,0
11,29,0,0,0,0,1,1
11,30,0,0,0,1,0,0
11,32,1,1,1,1,1,0
11,36,1,1,1,0,0,0
11,40,0,0,0,1,1,1
11,46,1,1,1,1,1,1
11,89,0,0,0,0,1,1
12,2,1,1,0,0,0,0
12,3,0,0,0,0,1,1
12,8,0,0,0,0,1,1
12,12,1,1,1,1,0,0
12,19,1,0,0,0,0,0
12,36,1,1,1,1,1,1
12,42,0,0,0,0,0,1
12,44,0,0,0,1,1,0
12,47,1,1,0,0,0,0
12,49,0,1,1,1,0,0
13,5,0,1,0,0,0,0
13,20,0,0,1,1,1,0
13,36,1,1,0,0,0,0
13,49,1,1,1,1,1,0
13,64,0,0,0,1,0,0
13,82,0,0,0,1,1,0
14,5,1,1,1,0,0,0
14,9,0,1,1,0,0,0
14,18,0,1,1,0,0,0
14,22,1,1,1,1,1,1
14,24,1,1,0,0,0,0
14,25,1,1,1,1,1,1
14,49,1,1,1,1,0,0
15,10,1,1,1,0,0,0
15,44,0,0,0,0,1,1
16,6,0,0,0,0,1,1
16,13,0,0,0,0,0,1
16,20,1,1,1,1,1,0
16,24,0,0,0,0,1,1
16,29,0,0,1,1,1,1
16,36,0,0,0,0,0,1
16,43,0,0,1,1,1,1
16,46,0,0,0,1,0,0
17,1,0,0,0,0,1,1
17,14,0,0,0,0,0,1
17,16,1,1,1,0,0,0
17,24,0,0,1,0,0,0
17,49,0,0,0,0,1,0
17,53,1,1,1,1,0,0
18,5,1,1,1,1,1,1
18,16,0,0,0,0,1,0
18,22,0,0,0,0,0,1
18,26,1,1,1,0,0,0
18,27,1,1,1,1,1,1
18,31,0,0,1,1,0,0
18,42,0,0,0,1,1,1
18,45,0,0,1,1,1,1
18,49,1,1,1,0,0,0
19,10,1,1,0,0,0,0
19,24,1,1,1,1,1,1
19,28,1,1,1,1,0,0
19,31,1,1,1,0,0,0
19,47,1,1,1,1,1,1
19,82,0,0,1,1,1,1
20,1,0,0,0,0,1,1
20,13,0,1,1,1,1,1
20,14,1,1,1,1,1,1
20,17,1,1,1,1,1,0
20,18,0,0,0,0,1,1
20,23,1,1,1,1,1,1
20,28,1,1,1,0,0,0
20,33,1,1,0,0,0,0
20,41,1,1,1,1,0,0
20,47,1,0,0,0,0,0
20,91,0,0,0,0,1,1
21,0,0,1,1,1,1,0
21,2,0,0,1,1,1,1
21,14,1,1,1,1,0,0
21,16,1,1,1,1,1,1
21,18,0,0,0,1,1,1
21,22,1,0,0,0,0,0
21,25,1,1,1,1,1,1
21,29,0,0,0,0,1,1
21,36,0,0,0,0,1,0
21,39,0,0,0,0,0,1
21,42,0,1,1,1,1,1
21,43,1,1,1,1,0,0
21,47,0,1,0,0,0,0
21,48,0,0,0,1,1,0
21,90,1,1,1,1,1,1
21,95,0,0,0,1,1,1
22,11,1,0,0,0,0,0
22,13,1,1,1,1,1,0
22,14,1,1,0,0,0,0
22,20,0,0,0,0,1,1
22,26,0,0,0,0,1,0
22,37,1,0,0,0,0,0
22,45,0,0,0,1,1,1
23,0,0,0,0,0,1,1
23,5,1,1,1,0,0,0
23,6,1,1,1,1,1,1
23,12,0,1,1,0,0,0
23,24,1,1,1,1,0,0
23,29,1,1,0,0,0,0
23,34,0,1,1,0,0,0
23,35,0,0,0,0,0,1
23,38,1,1,1,0,0,0
23,43,1,1,1,0,0,0
23,44,0,1,0,0,0,0
23,48,0,0,0,1,0,0
23,54,1,1,1,1,1,1
23,83,0,0,1,1,1,1
24,6,0,0,0,0,0,1
24,13,1,0,0,0,0,0
24,18,1,1,0,0,0,0
24,25,1,1,1,1,1,1
24,31,1,1,1,1,1,1
24,42,1,1,0,0,0,0
24,43,1,0,0,0,0,0
24,45,0,0,0,0,1,1
24,49,1,1,1,1,1,1
24,84,1,1,1,1,1,0
25,4,1,0,0,0,0,0
25,37,1,1,1,1,1,1
25,42,1,1,0,0,0,0
25,44,0,0,1,0,0,0
26,12,1,1,1,1,1,1
26,15,1,1,1,1,0,0
26,20,0,0,0,1,0,0
26,21,1,1,1,0,0,0
26,33,0,0,0,1,1,1
26,41,0,0,0,1,1,1
26,44,1,1,1,0,0,0
26,45,1,1,1,1,1,1
27,23,1,1,1,1,0,0
27,24,1,1,1,1,1,0
27,40,0,1,0,0,0,0
27,47,1,1,1,0,0,0
27,48,1,1,1,0,0,0
28,6,1,1,0,0,0,0
28,19,1,1,1,1,1,1
28,30,1,1,1,1,1,1
28,41,1,1,0,0,0,0
29,10,1,1,0,0,0,0
29,17,1,1,1,1,1,1
29,37,0,1,1,1,1,1
29,41,1,0,0,0,0,0
29,45,1,1,1,1,1,0
30,8,0,0,1,1,1,1
30,9,1,1,0,0,0,0
30,15,0,0,0,1,1,1
30,16,0,0,0,1,0,0
30,21,0,0,0,0,0,1
30,28,0,1,1,1,1,1
30,32,1,1,0,0,0,0
30,85,1,1,1,1,1,1
31,0,1,1,0,0,0,0
31,10,1,1,1,1,1,1
31,11,0,1,1,1,1,1
31,26,0,0,0,1,0,0
31,44,1,1,1,1,1,1
32,2,0,0,1,1,0,0
32,12,1,1,0,0,0,0
32,16,0,0,0,0,1,0
32,27,0,0,0,0,1,0
32,45,1,1,1,1,0,0
33,10,1,1,1,0,0,0
33,17,1,1,1,0,0,0
33,34,1,1,1,0,0,0
33,38,0,0,1,0,0,0
34,3,1,1,1,1,1,1
34,5,0,0,0,0,0,1
34,9,0,0,0,1,1,1
34,12,1,1,1,1,1,1
34,18,1,0,0,0,0,0
34,23,1,1,0,0,0,0
34,30,0,0,1,1,0,0
34,36,0,0,0,1,1,0
34,39,1,1,1,1,1,1
34,44,0,0,0,1,1,1
34,49,0,0,0,0,0,1
35,5,1,1,1,1,1,1
35,11,0,1,1,1,1,0
35,14,1,1,1,1,1,1
35,18,0,0,0,1,1,1
35,38,1,1,1,1,1,1
35,42,0,1,1,1,1,1
35,61,1,1,1,1,1,1
36,13,0,1,0,0,0,0
36,17,0,0,0,0,1,1
36,18,0,0,1,1,1,1
36,21,0,1,1,1,1,0
36,23,1,0,0,0,0,0
36,35,1,1,1,1,1,0
36,43,1,0,0,0,0,0
37,0,1,0,0,0,0,0
37,3,1,1,1,0,0,0
37,9,1,1,1,1,1,1
37,10,1,1,0,0,0,0
37,19,1,1,1,1,1,1
38,12,0,0,1,1,1,1
38,20,1,1,1,1,0,0
38,26,1,1,1,1,1,1
38,32,1,1,1,1,1,1
38,34,0,0,0,0,1,1
38,36,0,0,1,1,1,1
38,37,0,0,0,0,1,1
38,43,0,0,0,1,1,1
39,8,0,0,1,1,1,1
39,18,0,0,0,1,0,0
39,22,1,1,0,0,0,0
39,23,0,0,0,1,1,1
39,28,1,1,1,1,1,1
39,38,1,1,0,0,0,0
39,41,1,1,1,1,1,0
39,69,0,0,0,0,1,1
40,10,1,1,1,1,0,0
40,30,0,0,0,1,1,1
40,33,1,0,0,0,0,0
40,49,0,0,1,1,1,1
40,91,1,0,0,0,0,0
41,5,1,0,0,0,0,0
41,9,1,0,0,0,0,0
41,20,1,1,0,0,0,0
41,21,1,1,1,1,1,0
41,22,0,0,1,1,1,1
41,29,0,0,0,1,0,0
41,36,1,1,1,1,1,0
41,39,1,1,0,0,0,0
42,0,1,0,0,0,0,0
42,4,1,1,1,0,0,0
42,10,0,1,1,1,1,1
42,11,0,0,0,0,1,1
42,13,0,0,0,0,0,1
42,17,0,0,1,1,1,0
42,22,1,1,1,0,0,0
42,24,1,1,1,1,1,1
42,34,0,0,0,0,0,1
42,40,1,1,1,0,0,0
42,46,0,0,0,0,0,1
42,80,0,1,0,0,0,0
43,18,1,1,1,1,1,1
43,36,1,1,1,1,0,0
43,44,1,1,1,0,0,0
43,80,1,0,0,0,0,0
44,5,1,1,1,1,1,1
44,9,0,1,0,0,0,0
44,16,0,1,1,1,1,1
44,22,0,1,0,0,0,0
44,27,1,1,1,0,0,0
44,28,0,0,1,1,1,1
44,30,0,0,0,1,1,1
44,35,1,0,0,0,0,0
44,45,1,0,0,0,0,0
44,57,0,0,0,0,0,1
45,5,1,1,0,0,0,0
45,7,0,0,0,0,0,1
45,22,1,1,1,0,0,0
45,23,0,0,0,0,0,1
45,26,0,0,0,1,1,1
45,29,0,0,0,1,1,1
45,37,1,1,0,0,0,0
45,46,1,0,0,0,0,0
